,yhat
1341,70.8994134144247
1342,70.50612341586304
1343,71.0172792014814
1344,72.27126394394132
1345,73.5229614870738
1346,73.94819399621237
1347,73.2543227363896
1348,71.85285080813419
1349,70.4458794310405
1350,69.42576812589505
1351,68.65350905843538
1352,67.80112606933686
1353,66.88693271442459
1354,66.44374301557139
1355,67.12256962173484
1356,69.09135408671484
1357,71.7956343770617
1358,74.30851659633085
1359,75.9489429528393
1360,76.62318494769485
1361,76.6464819391528
1362,76.31055922015798
1363,75.6682225780645
1364,74.72030322961719
1365,73.72780304355472
1366,73.22212717371883
1367,73.60957843010355
1368,74.72921610092203
1369,75.83671778400387
1370,76.10881159654468
1371,75.25387016204566
1372,73.68450526469049
1373,72.1040148373374
1374,70.90603272618519
1375,69.95289159992377
1376,68.91800964787959
1377,67.8211355208139
1378,67.19654535586811
1379,67.69672673390698
1380,69.49109443229676
1381,72.02664324636332
1382,74.37790503108087
1383,75.86520215392879
1384,76.39612649984444
1385,76.28716434656671
1386,75.83120140274335
1387,75.08210512807976
1388,74.04165836994629
1389,72.97169436002721
1390,72.40432031342007
1391,72.74640406384921
1392,73.83742653979776
1393,74.93333871611532
1394,75.21099046968703
1395,74.37872278017711
1396,72.84896219060077
1397,71.32466920020387
1398,70.1989910204667
1399,69.33362903260016
1400,68.40123154218142
1401,67.42064622010358
1402,66.92512598938762
1403,67.56602310893076
1404,69.51151620559689
1405,72.2072754031946
1406,74.72643256360112
1407,76.3878486846599
1408,77.09760744116777
1409,77.1706550262501
1410,76.89832041992378
1411,76.33291303591456
1412,75.47467161249284
1413,74.58391422347192
1414,74.19127648773822
1415,74.70221225227274
1416,75.95485940195329
1417,77.20390928776186
1418,77.62504707003274
1419,76.92555429756759
1420,75.51691253079017
1421,74.10125958947684
1422,73.07104877951959
1423,72.28742137740957
1424,71.42260292534543
1425,70.49515770143195
1426,70.03819511661543
1427,70.70306280067017
1428,72.65807115618047
1429,75.3491545743617
1430,77.84983638959235
1431,79.47948969443156
1432,80.14482309324885
1433,80.16151165693088
1434,79.82170732264437
1435,79.17862581740866
1436,78.23348410786485
1437,77.2476383958772
1438,76.7528098878688
1439,77.15557276499003
1440,78.29520716176903
1441,79.42755579875964
1442,79.72945171736632
1443,78.90930858529411
1444,77.3797125227348
1445,75.8438671635419
1446,74.69524243128039
1447,73.79593742303032
1448,72.81906805618785
1449,71.78401393173063
1450,71.22461824109008
1451,71.79287553821493
1452,73.65765220055262
1453,76.26534480087963
1454,78.68984347873632
1455,80.25079242889086
1456,80.85507656446026
1457,80.8184545808248
1458,80.43307261295672
1459,79.75205549920092
1460,78.77644957468064
1461,77.76736692283578
1462,77.25621821021036
1463,77.64920842017686
1464,78.78519817310591
1465,79.9195691522605
1466,80.22866095272268
1467,79.42037068797826
1468,77.90675416899086
1469,76.39048023648178
1470,75.26448859374797
1471,74.39036140574036
1472,73.4407191978147
1473,72.4344753934798
1474,71.9050432130365
1475,72.50402965989578
1476,74.39996133480705
1477,77.03894722981245
1478,79.4946455331894
1479,81.08652652034299
1480,81.72136056030283
1481,81.71485145128227
1482,81.35914928061246
1483,80.70743983977101
1484,79.76088455071678
1485,78.78076087909461
1486,78.29869042102982
1487,78.7211290530634
1488,79.88722191904988
1489,81.05266187043613
1490,81.39411878363961
1491,80.61983120389803
1492,79.1421992514231
1493,77.66423049663956
1494,76.57918928120776
1495,75.74895988044733
1496,74.84643417179653
1497,73.8907582759411
1498,73.41553201702617
1499,74.0724960472956
1500,76.03025148805385
1501,78.73491734089436
1502,81.2600927934922
1503,82.92511657563621
1504,83.63655246354817
1505,83.709821200721
1506,83.43671307077702
1507,82.86997817829447
1508,82.01026840346444
